,x,y,y_mta,unpredicted_delay,unpredicted_delay_mta,weekday,nighttime
1425,39.8,39.013478786360885,37.81666666666667,0.7865212136391164,1.9833333333333334,False,False
820,42.11666666666667,43.64149682516035,42.583333333333336,-1.5248301584936825,-0.4666666666666667,True,False
746,41.25,44.66542223010178,44.46666666666667,-3.415422230101785,-3.216666666666667,True,False
1854,43.0,42.731573448936246,42.13333333333333,0.26842655106375635,0.8666666666666667,True,False
439,37.43333333333333,39.65616732131269,37.583333333333336,-2.2228339879793717,-0.15,False,False
1802,51.5,53.160800233070155,48.0,-1.6608002330701461,3.5,True,True
130,42.0,43.8189601258382,44.9,-1.8189601258382102,-2.9,True,False
1473,36.95,39.40684958652574,36.766666666666666,-2.4568495865257547,0.18333333333333332,False,True
730,46.766666666666666,46.54421643658398,47.25,0.22245023008268466,-0.48333333333333334,True,False
1766,42.0,42.27304888225059,43.93333333333333,-0.2730488822505928,-1.9333333333333333,True,False
1979,42.0,43.07142580231846,41.78333333333333,-1.0714258023184584,0.21666666666666667,True,False
1651,46.75,50.54163053429441,48.483333333333334,-3.7916305342944043,-1.7333333333333334,True,True
2073,43.0,42.98269747494084,44.45,0.017302525059161175,-1.45,True,False
492,39.0,39.40688754369596,36.61666666666667,-0.40688754369596153,2.3833333333333333,False,True
500,36.75,38.97022712204043,36.15,-2.2202271220404177,0.6,False,True
1487,60.3,54.17545622293165,48.9,6.124543777068341,11.4,True,True
429,39.75,39.304204753864546,37.916666666666664,0.445795246135458,1.8333333333333333,False,False
1637,45.75,44.62516264135383,39.88333333333333,1.1248373586461715,5.866666666666666,True,True
1964,52.0,51.99432116054352,48.03333333333333,0.005678839456497068,3.966666666666667,True,True
263,55.233333333333334,56.339709542761106,48.4,-1.1063762094277763,6.833333333333333,False,True
833,41.38333333333333,41.57248677017238,42.016666666666666,-0.18915343683904667,-0.6333333333333333,True,False
917,40.5,46.175472997953484,39.88333333333333,-5.675472997953496,0.6166666666666667,True,True
593,41.5,42.00297651614565,44.31666666666667,-0.5029765161456604,-2.816666666666667,True,False
1500,47.233333333333334,50.26539184437258,48.483333333333334,-3.032058511039236,-1.25,True,True
133,41.75,43.36932194709992,44.53333333333333,-1.6193219470999338,-2.783333333333333,True,False
837,41.63333333333333,41.57697369654068,42.333333333333336,0.056359636792649326,-0.7,True,False
550,40.21666666666667,42.478382035635235,42.61666666666667,-2.261715368968574,-2.4,True,False
780,59.5,54.136144930592195,48.2,5.363855069407813,11.3,True,True
299,39.5,38.985556136653585,37.75,0.5144438633464158,1.75,False,False
1367,57.2,51.269409933697034,48.03333333333333,5.930590066302958,9.166666666666666,False,True
1420,39.3,39.40102609839196,37.88333333333333,-0.10102609839195793,1.4166666666666667,False,False
729,44.733333333333334,46.744256624221364,47.06666666666667,-2.0109232908880283,-2.3333333333333335,True,False
354,42.5,39.34619290397491,37.85,3.1538070960250932,4.65,False,False
945,41.3,42.405948253251964,43.15,-1.1059482532519647,-1.85,True,False
1059,38.25,41.38424184110897,40.53333333333333,-3.1342418411089663,-2.283333333333333,True,True
838,43.13333333333333,42.034427155146524,42.38333333333333,1.0989061781868108,0.75,True,False
364,42.0,40.07749492475794,36.93333333333333,1.9225050752420505,5.066666666666666,False,False
1336,38.25,39.198790593609786,36.8,-0.9487905936097831,1.45,False,False
1617,41.5,41.91961561018775,42.45,-0.41961561018774013,-0.95,True,False
